課税区,課税区コード,宛名番号,氏名・名称,住所・所在地,個人番号・法人番号,課税年度,種類１取得価額,種類１評価額,種類１決定価格,種類１課税標準額,種類１資産件数,種類２取得価額,種類２評価額,種類２決定価格,種類２課税標準額,種類２資産件数,種類３取得価額,種類３評価額,種類３決定価格,種類３課税標準額,種類３資産件数,種類４取得価額,種類４評価額,種類４決定価格,種類４課税標準額,種類４資産件数,種類５取得価額,種類５評価額,種類５決定価格,種類５課税標準額,種類５資産件数,種類６取得価額,種類６評価額,種類６決定価格,種類６課税標準額,種類６資産件数,種類７取得価額,種類７評価額,種類７決定価格,種類７課税標準額,種類７資産件数,償却免点未満F,区,町,丁目,地番,所在
鶴見区,0,70000034,特定非営利活動法人増減なにぬねの内科クリニック,鶴見区馬場７丁目１９番１７−１３−１５−１０号　一剣明石ビル３Ｆ,,2025,0,0,0,0,0,10787790,2214305,2214305,2214305,12,0,0,0,0,0,0,0,0,0,0,6584500,2572405,2572405,2572405,8,2845200,2424477,2424477,2424477,10,20217490,7211187,7211187,7211187,30,0,0,,,,梅が丘１番２０−１８号
鶴見区,0,70000042,医療法人公印ＧＨＩ生命保険,鶴見区北寺尾２丁目８番５−１−１３−８号,,2025,0,0,0,0,0,9701000,6532762,6532762,6532762,12,0,0,0,0,0,0,0,0,0,0,2000000,592923,592923,592923,2,6074300,2849908,2849908,2849908,14,17775300,9975593,9975593,9975593,28,0,0,,,,篠原北１丁目１４番９号
鶴見区,0,70000051,社会福祉法人現年度八百屋,鶴見区東寺尾２丁目１７番２−１１−１７−１４号,,2025,3762000,3464388,3464388,3464388,3,27860400,10091099,10091099,10091099,14,9522700,3580689,3580689,3580689,4,0,0,0,0,0,4713800,3939798,3939798,3939798,4,8468900,1374405,1374405,1374405,20,54327800,22450379,22450379,22450379,45,0,0,,,,岡村４丁目１０番
鶴見区,0,70000069,公印ブックストア,鶴見区寺谷２丁目８番１９−１−１−１１号,,2025,5703500,5205913,5205913,5205913,4,5080500,3487955,3487955,3487955,1,39360400,34958278,34958278,34958278,2,0,0,0,0,0,0,0,0,0,0,2138000,1013336,1013336,1013336,7,52282400,44665482,44665482,44665482,14,0,0,,,,片吹６番
鶴見区,0,70000077,公益社団法人交渉経過レストラン,鶴見区北寺尾５丁目１６番８−２−２−２０号,,2025,19633300,9626246,9626246,9626246,16,3540990,1925595,1925595,1925595,3,0,0,0,0,0,0,0,0,0,0,21109200,2594335,2594335,2594335,21,0,0,0,0,0,44283490,14146176,14146176,14146176,40,0,0,,,,★沢７丁目１４番
鶴見区,0,70000085,学校法人地方税西部酪農農業,鶴見区寺谷１丁目１１番５−２−１２−１１号,,2025,12311000,2917193,2917193,2917193,12,0,0,0,0,0,50397900,44952981,44952981,44952981,4,0,0,0,0,0,13284700,7835388,7835388,7835388,15,0,0,0,0,0,75993600,55705562,55705562,55705562,31,0,0,,,,千代崎町１丁目１４番２−６号
鶴見区,0,70000093,一般社団法人還付レストラン,鶴見区市場東中町６番１５−８−１７−１号,,2025,0,0,0,0,0,22217600,17177744,17177744,17177744,9,56059900,27497804,27497804,27497804,3,0,0,0,0,0,15145800,2509281,2509281,2509281,11,0,0,0,0,0,93423300,47184829,47184829,47184829,23,0,0,,,,荏田北２丁目１４番６−１３−１０号
鶴見区,0,70000107,学生サイクル,鶴見区元宮１丁目１番１４−２０−１６−１５号　プリメーラ行政２１５,,2025,0,0,0,0,0,29603200,5629199,5629199,5629199,13,18146400,14399616,14399616,14399616,6,0,0,0,0,0,9821700,5544130,5544130,5544130,9,2536200,316094,316094,316094,11,60107500,25889039,25889039,25889039,39,0,0,,,,笹下３丁目３番１１号
鶴見区,0,70000115,合同会社一括設定テレビ,鶴見区獅子ケ谷２丁目８番２０−１５号,,2025,3605200,3296389,3296389,3296389,4,27546490,16283859,16283859,16283859,10,152453000,47603106,47603106,47603106,17,0,0,0,0,0,0,0,0,0,0,6334700,1068708,1068708,1068708,14,189939390,68252062,68252062,68252062,45,0,0,,,,笹下１丁目１２番
鶴見区,0,70000123,合資会社他課東部酪農農業,鶴見区小野町３番５−４−１−１号,,2025,6788500,5226731,5226731,5226731,6,4251000,3894345,3894345,3894345,2,45616500,20640101,20640101,20640101,5,0,0,0,0,0,6025200,2802810,2802810,2802810,5,4637500,284832,284832,284832,7,67318700,32848819,32848819,32848819,25,0,0,,,,鍛冶ケ谷２丁目１０番４−１５−１３号
